Date,Category,Description,Amount,Payment_Method
2026-03-24,Food,Coffee,1146.16,UPI
2026-07-16,Entertainment,Restaurant,571.44,UPI
2026-09-24,Bills,Mobile Bill,5321.73,Cash
2026-08-22,Education,Exam Fee,1776.13,Cash
2026-05-03,Food,Groceries,410.13,Card
2026-04-25,Education,Exam Fee,3957.13,UPI
2026-05-05,Food,Lunch,877.35,Cash
2026-07-29,Travel,Bus,446.78,Card
2026-01-27,Health,Doctor Consultation,3970.8,UPI
2026-02-17,Bills,Rent,2891.18,UPI
2026-07-18,Bills,Mobile Bill,4758.77,Card
2026-05-19,Shopping,Electronics,5582.99,UPI
2026-04-03,Education,Exam Fee,920.19,UPI
2026-03-22,Food,Groceries,857.57,Cash
2026-04-10,Shopping,Clothes,4369.89,Net Banking
2026-07-22,Education,Course,2801.98,Card
2026-01-25,Education,Exam Fee,4775.39,UPI
2026-08-02,Bills,Rent,4378.41,Card
2026-02-27,Food,Dinner,442.81,Net Banking
2026-01-03,Entertainment,Game,1218.36,Cash
2026-02-20,Travel,Metro,222.41,UPI
2026-03-25,Travel,Metro,891.36,UPI
2026-05-03,Travel,Fuel,1216.92,Net Banking
2026-09-25,Entertainment,Movie,192.5,Card
2026-05-29,Education,Books,624.33,Card
2026-05-08,Shopping,Clothes,1494.07,Card
2026-08-18,Food,Coffee,606.35,UPI
2026-06-07,Food,Dinner,543.6,UPI
2026-09-26,Food,Breakfast,1050.08,Cash
2026-02-12,Food,Coffee,440.12,Cash
2026-04-29,Food,Breakfast,1118.87,UPI
2026-06-20,Health,Dental,1837.32,UPI
2026-03-29,Bills,Gas Bill,3254.08,UPI
2026-02-28,Food,Groceries,252.8,Net Banking
2026-02-28,Bills,Mobile Bill,4093.92,UPI
2026-04-25,Food,Snacks,371.99,UPI
2026-03-09,Travel,Train,101.4,UPI
2026-07-08,Education,Books,4249.16,Net Banking
2026-02-12,Shopping,Accessories,6827.9,Net Banking
2026-05-08,Bills,Gas Bill,1931.92,UPI
2026-03-01,Education,Exam Fee,844.96,UPI
2026-02-15,Education,Exam Fee,4678.51,Card
2026-01-19,Food,Snacks,251.68,UPI
2026-09-28,Bills,Gas Bill,3988.29,UPI
2026-02-18,Travel,Train,293.85,UPI
2026-07-16,Bills,Mobile Bill,4129.73,Cash
2026-01-29,Food,Breakfast,889.04,UPI
2026-05-06,Food,Groceries,216.61,Card
2026-06-26,Food,Dinner,941.55,Card
2026-04-18,Bills,Gas Bill,769.3,UPI
2026-07-11,Food,Snacks,209.59,UPI
2026-04-22,Entertainment,Restaurant,1632.32,Cash
2026-01-25,Education,Books,1103.95,UPI
2026-03-17,Health,Doctor Consultation,1899.93,UPI
2026-03-31,Travel,Fuel,771.14,Card
2026-03-17,Travel,Bus,1417.38,UPI
2026-03-03,Shopping,Household Items,7800.45,UPI
2026-04-18,Bills,Mobile Bill,3590.0,Card
2026-03-24,Food,Snacks,319.78,UPI
2026-05-24,Bills,Rent,5899.93,Cash
2026-04-24,Health,Doctor Consultation,895.02,Cash
2026-06-20,Education,Stationery,4360.65,UPI
2026-04-15,Food,Groceries,1128.52,Net Banking
2026-04-28,Health,Doctor Consultation,2373.96,UPI
2026-03-19,Health,Lab Test,442.6,Card
2026-01-14,Entertainment,Movie,1578.8,UPI
2026-06-10,Shopping,Clothes,1891.95,UPI
2026-02-25,Shopping,Electronics,242.69,Card
2026-06-25,Bills,Gas Bill,2584.79,Cash
2026-07-17,Entertainment,Restaurant,2339.04,UPI
2026-03-23,Food,Dinner,611.03,UPI
2026-08-22,Food,Snacks,301.99,Net Banking
2026-04-22,Bills,Mobile Bill,4977.11,UPI
2026-09-07,Food,Dinner,845.25,UPI
2026-09-17,Entertainment,Game,218.21,UPI
2026-09-25,Entertainment,Restaurant,672.53,Card
2026-04-20,Food,Coffee,1114.74,Card
2026-03-19,Food,Breakfast,1014.87,UPI
2026-08-06,Food,Lunch,110.44,Net Banking
2026-07-01,Food,Coffee,825.57,Card
